Name	Score
chr6_31110650_31110700	0.0007278
chr6_31110700_31110750	0.0007278
chr6_31110750_31110800	0.0007278
chr6_31110800_31110850	0.0007278
chr6_31110850_31110900	0.0007278
chr6_31110900_31110950	0.0007278
chr6_31110950_31111000	0.0007278
chr6_31111000_31111050	0.0007278
chr6_31111050_31111100	0.0007278
chr6_31111100_31111150	0.0007278
chr6_31111150_31111200	0.0007278
chr6_31294500_31294550	0.0008064
chr6_31294550_31294600	0.0008064
chr6_31294600_31294650	0.0008064
chr6_31294650_31294700	0.0008064
chr6_31294700_31294750	0.0008064
chr6_31294750_31294800	0.0008064
chr6_31294800_31294850	0.0008064
chr6_31294850_31294900	0.0008064
chr6_31294900_31294950	0.0008064
chr6_31294950_31295000	0.0008064
chr6_31295000_31295050	0.0008064
chr6_31295050_31295100	0.0008064
chr6_31295100_31295150	0.0008064
chr6_31295150_31295200	0.0008064
chr6_31295200_31295250	0.0008064
chr6_31295250_31295300	0.0008064
chr6_31295300_31295350	0.0008064
chr6_31295350_31295400	0.0008064
chr6_31295400_31295450	0.0008064
chr6_31295450_31295500	0.0008064
chr6_31295500_31295550	0.0008064
chr6_31295550_31295600	0.0008064
chr6_31295600_31295650	0.0008064
chr6_31295650_31295700	0.0008064
chr6_31295700_31295750	0.0008064
chr6_31295750_31295800	0.0008064
chr6_31295800_31295850	0.0008064
chr6_31295850_31295900	0.0008064
chr6_31295900_31295950	0.0008064
chr6_31295950_31296000	0.0008064
chr6_31296000_31296050	0.0008064
chr6_31296050_31296100	0.0008064
chr6_31296100_31296150	0.0008064
chr6_31296150_31296200	0.0008064
chr6_31296200_31296250	0.0008064
chr6_31296250_31296300	0.0008064
chr6_31296300_31296350	0.0008064
chr6_31296350_31296400	0.0008064
chr6_31296400_31296450	0.0008064
chr6_31296450_31296500	0.0008064
chr6_31296500_31296550	0.0008064
chr6_31296550_31296600	0.0008064
chr6_31296600_31296650	0.0008064
chr6_31296650_31296700	0.0008064
chr6_31296700_31296750	0.0008064
chr6_31296750_31296800	0.0008064
chr6_31296800_31296850	0.0008064
chr6_31296850_31296900	0.0008064
chr6_31296900_31296950	0.0008064
chr6_31296950_31297000	0.0008064
