Name	Score
chr6_31752750_31752800	5.037e-05
chr6_31752800_31752850	5.037e-05
chr6_31752850_31752900	5.037e-05
chr6_31752900_31752950	5.037e-05
chr6_31752950_31753000	5.037e-05
chr6_31752650_31752700	1.023e-04
chr6_31752700_31752750	1.023e-04
chr6_31753000_31753050	1.023e-04
chr6_30623950_30624000	1.832e-04
chr6_30624000_30624050	1.832e-04
chr6_30892400_30892450	5.934e-04
chr6_30892450_30892500	5.934e-04
chr6_31601200_31601250	2.008e-03
chr6_31601250_31601300	2.008e-03
chr6_31601300_31601350	2.008e-03
chr6_31601350_31601400	2.008e-03
chr6_31601400_31601450	2.008e-03
chr6_31601450_31601500	2.008e-03
chr6_31601500_31601550	2.008e-03
chr6_31601550_31601600	2.008e-03
chr6_31601600_31601650	2.008e-03
chr6_31601650_31601700	2.008e-03
chr6_31601700_31601750	2.008e-03
chr6_31601750_31601800	2.008e-03
chr6_31601800_31601850	2.008e-03
chr6_31601850_31601900	2.008e-03
chr6_31601900_31601950	2.008e-03
chr6_31601950_31602000	2.008e-03
chr6_31602000_31602050	2.008e-03
chr6_31602050_31602100	2.008e-03
chr6_31602100_31602150	2.008e-03
chr6_31602150_31602200	2.008e-03
chr6_31602200_31602250	2.008e-03
chr6_31602250_31602300	2.008e-03
chr6_31602300_31602350	2.008e-03
chr6_31602350_31602400	2.008e-03
chr6_31602400_31602450	2.008e-03
chr6_31602450_31602500	2.008e-03
chr6_31602500_31602550	2.008e-03
chr6_31602550_31602600	2.008e-03
chr6_31602600_31602650	2.008e-03
chr6_31602650_31602700	2.008e-03
chr6_31602700_31602750	2.008e-03
chr6_31602750_31602800	2.008e-03
chr6_31602800_31602850	2.008e-03
chr6_31602850_31602900	2.008e-03
chr6_31602900_31602950	2.008e-03
chr6_31602950_31603000	2.008e-03
chr6_31603000_31603050	2.008e-03
chr6_31603050_31603100	2.008e-03
chr6_31603100_31603150	2.008e-03
chr6_31603150_31603200	2.008e-03
chr6_31603200_31603250	2.008e-03
chr6_31603250_31603300	2.008e-03
chr6_31603300_31603350	2.008e-03
chr6_31603350_31603400	2.008e-03
chr6_31752150_31752200	2.793e-03
chr6_31752200_31752250	2.793e-03
chr6_31752250_31752300	2.793e-03
chr6_30558800_30558850	3.642e-03
chr6_30558850_30558900	3.642e-03
chr6_30558900_30558950	3.642e-03
chr6_30622800_30622850	4.014e-03
chr6_30623800_30623850	4.014e-03
chr6_30623850_30623900	4.014e-03
chr6_30623900_30623950	4.014e-03
chr6_31752400_31752450	4.851e-03
chr6_31752450_31752500	4.851e-03
chr6_31752500_31752550	4.851e-03
chr6_31752550_31752600	4.851e-03
chr6_31752600_31752650	4.851e-03
chr6_31753050_31753100	4.851e-03
chr6_31752300_31752350	5.002e-03
chr6_31752350_31752400	5.002e-03
chr6_30888300_30888350	5.152e-03
chr6_30888350_30888400	5.152e-03
chr6_30888400_30888450	5.152e-03
chr6_30888450_30888500	5.152e-03
chr6_30888500_30888550	5.152e-03
chr6_30888550_30888600	5.152e-03
chr6_30888600_30888650	5.152e-03
chr6_30888650_30888700	5.152e-03
chr6_30888700_30888750	5.152e-03
chr6_30592500_30592550	6.024e-03
chr6_31508250_31508300	6.436e-03
chr6_31508300_31508350	6.436e-03
chr6_31748900_31748950	7.530e-03
chr6_31748950_31749000	7.530e-03
chr6_31749000_31749050	7.530e-03
chr6_31749050_31749100	7.530e-03
chr6_31749100_31749150	7.530e-03
chr6_31749150_31749200	7.530e-03
chr6_31749200_31749250	7.530e-03
chr6_31749250_31749300	7.530e-03
chr6_31749300_31749350	7.530e-03
chr6_31749350_31749400	7.530e-03
chr6_31749400_31749450	7.530e-03
chr6_31749450_31749500	7.530e-03
chr6_31749500_31749550	7.530e-03
chr6_31749550_31749600	7.530e-03
chr6_31749600_31749650	7.530e-03
chr6_31749650_31749700	7.530e-03
chr6_31753100_31753150	8.128e-03
chr6_31753150_31753200	8.128e-03
chr6_31753200_31753250	8.128e-03
chr6_30622850_30622900	9.027e-03
chr6_30622900_30622950	9.027e-03
chr6_30622950_30623000	9.027e-03
chr6_30623000_30623050	9.027e-03
chr6_30623050_30623100	9.027e-03
chr6_30623100_30623150	9.027e-03
chr6_30623150_30623200	9.027e-03
chr6_30623200_30623250	9.027e-03
chr6_30623250_30623300	9.027e-03
chr6_30623300_30623350	9.027e-03
chr6_30623350_30623400	9.027e-03
chr6_30623400_30623450	9.027e-03
chr6_30623450_30623500	9.027e-03
chr6_30623500_30623550	9.027e-03
chr6_30623550_30623600	9.027e-03
chr6_30623600_30623650	9.027e-03
chr6_30623650_30623700	9.027e-03
chr6_30623700_30623750	9.027e-03
chr6_30623750_30623800	9.027e-03
chr6_30552100_30552150	9.738e-03
chr6_30552150_30552200	9.738e-03
chr6_30552200_30552250	9.738e-03
chr6_30552250_30552300	9.738e-03
chr6_30552300_30552350	9.738e-03
chr6_30552350_30552400	9.738e-03
chr6_30552400_30552450	9.738e-03
chr6_30552450_30552500	9.738e-03
chr6_30552500_30552550	9.738e-03
chr6_30552550_30552600	9.738e-03
chr6_30552600_30552650	9.738e-03
chr6_30552650_30552700	9.738e-03
chr6_30552700_30552750	9.738e-03
chr6_30552750_30552800	9.738e-03
chr6_30552800_30552850	9.738e-03
chr6_30552850_30552900	9.738e-03
chr6_30552900_30552950	9.738e-03
chr6_30552950_30553000	9.738e-03
chr6_30553000_30553050	9.738e-03
chr6_30553050_30553100	9.738e-03
chr6_30553100_30553150	9.738e-03
chr6_30553150_30553200	9.738e-03
chr6_30553200_30553250	9.738e-03
chr6_30553250_30553300	9.738e-03
chr6_30553300_30553350	9.738e-03
chr6_30553350_30553400	9.738e-03
chr6_30553400_30553450	9.738e-03
chr6_31592900_31592950	9.744e-03
chr6_31592950_31593000	9.744e-03
chr6_31593000_31593050	9.744e-03
chr6_30889950_30890000	9.953e-03
chr6_30890000_30890050	9.953e-03
chr6_30890050_30890100	9.953e-03
chr6_30890100_30890150	9.953e-03
chr6_30890150_30890200	9.953e-03
chr6_30890200_30890250	9.953e-03
chr6_30890250_30890300	9.953e-03
chr6_30890300_30890350	9.953e-03
chr6_30890350_30890400	9.953e-03
chr6_30890400_30890450	9.953e-03
chr6_30890450_30890500	9.953e-03
chr6_30890500_30890550	9.953e-03
chr6_30890550_30890600	9.953e-03
chr6_30890600_30890650	9.953e-03
chr6_30891750_30891800	9.953e-03
chr6_30891800_30891850	9.953e-03
chr6_30891850_30891900	9.953e-03
chr6_30891900_30891950	9.953e-03
chr6_30891950_30892000	9.953e-03
chr6_30892000_30892050	9.953e-03
chr6_30892050_30892100	9.953e-03
chr6_30892100_30892150	9.953e-03
chr6_30892150_30892200	9.953e-03
chr6_30892200_30892250	9.953e-03
chr6_30892250_30892300	9.953e-03
chr6_30892300_30892350	9.953e-03
