chr3	31003827	31003847	Sox2-hU6@00001
chr3	31003828	31003848	Sox2-hU6@00002
chr3	31003836	31003856	Sox2-hU6@00003
chr3	31003841	31003861	Sox2-hU6@00004
chr3	31003844	31003864	Sox2-hU6@00005
chr3	31003858	31003878	Sox2-hU6@00006
chr3	31003862	31003882	Sox2-hU6@00007
chr3	31003863	31003883	Sox2-hU6@00008
chr3	31003874	31003894	Sox2-hU6@00010
chr3	31003875	31003895	Sox2-hU6@00009
chr3	31003882	31003902	Sox2-hU6@00011
chr3	31003883	31003903	Sox2-hU6@00012
chr3	31003900	31003920	Sox2-hU6@00013
chr3	31003908	31003928	Sox2-hU6@00014
chr3	31003924	31003944	Sox2-hU6@00015
chr3	31003950	31003970	Sox2-hU6@00016
chr3	31003956	31003976	Sox2-hU6@00017
chr3	31022097	31022117	Sox2-hU6@00018
chr3	31022113	31022133	Sox2-hU6@00019
chr3	31022130	31022150	Sox2-hU6@00020
chr3	31022131	31022151	Sox2-hU6@00021
chr3	31022136	31022156	Sox2-hU6@00022
chr3	31022189	31022209	Sox2-hU6@00023
chr3	31022200	31022220	Sox2-hU6@00024
chr3	31022248	31022268	Sox2-hU6@00025
chr3	31023148	31023168	Sox2-hU6@00026
chr3	31023204	31023224	Sox2-hU6@00027
chr3	31023209	31023229	Sox2-hU6@00028
chr3	31023210	31023230	Sox2-hU6@00029
chr3	31023267	31023287	Sox2-hU6@00030
chr3	31023274	31023294	Sox2-hU6@00031
chr3	31023278	31023298	Sox2-hU6@00032
chr3	31023283	31023303	Sox2-hU6@00033
chr3	31023293	31023313	Sox2-hU6@00034
chr3	31029829	31029849	Sox2-hU6@00035
chr3	31029857	31029877	Sox2-hU6@00036
chr3	31029884	31029904	Sox2-hU6@00037
chr3	31029975	31029995	Sox2-hU6@00038
chr3	31030027	31030047	Sox2-hU6@00039
chr3	31030028	31030048	Sox2-hU6@00040
chr3	31030029	31030049	Sox2-hU6@00041
chr3	31030039	31030059	Sox2-hU6@00042
chr3	31030045	31030065	Sox2-hU6@00044
chr3	31030046	31030066	Sox2-hU6@00045
chr3	31030047	31030067	Sox2-hU6@00043
chr3	31030047	31030067	Sox2-hU6@00046
